epoch,accuracy,loss,interval_acc,interval_loss
0,0.040071999,4.434486294,0.010103308,0.076773224
1,0.119808002,3.835064602,0.008385237,0.092018632
2,0.179235998,3.479755878,0.00649135,0.047840204
3,0.218596002,3.26127758,0.008649681,0.028741827
4,0.248251998,3.098099041,0.008895921,0.042962335
5,0.275728005,2.954449034,0.01045697,0.044596479
6,0.299475998,2.824269676,0.009387927,0.041128992
7,0.321183997,2.70772295,0.009472702,0.03885915
8,0.3426,2.60079689,0.0078446,0.038013925
9,0.362871999,2.502436113,0.01186018,0.040270968
10,0.38064,2.410293341,0.01106522,0.043447258
11,0.399888003,2.323672342,0.015141294,0.048379883
12,0.41724,2.239596844,0.012644204,0.050641457
13,0.434531999,2.161812973,0.016316123,0.053348995
14,0.451511997,2.086098719,0.013280641,0.05165472
15,0.468188,2.009767127,0.016500233,0.062114905
16,0.485256004,1.93788774,0.018665286,0.06514994
17,0.500848001,1.867240286,0.01746086,0.064753972
18,0.517035997,1.795662999,0.015812186,0.069136593
19,0.532467997,1.72623179,0.02422086,0.07798623
20,0.550231993,1.657037258,0.019930585,0.078029256
21,0.565563989,1.589358616,0.024792439,0.086273757
22,0.582120001,1.517702365,0.022004876,0.08909438
23,0.598175991,1.450013781,0.025926363,0.095455352
24,0.615820003,1.378471947,0.026137901,0.102890866
25,0.632332003,1.309295654,0.029724589,0.113768611
26,0.650411987,1.242737103,0.033810088,0.128353414
27,0.666824007,1.173414636,0.034865125,0.123777836
28,0.684375989,1.104647112,0.037558575,0.133750748
29,0.70142802,1.037915015,0.038702618,0.138566055
30,0.720211995,0.968766797,0.038515333,0.144164902
31,0.737327993,0.9037714,0.040310646,0.149005154
32,0.754732013,0.839353216,0.040643426,0.151655515
33,0.770412004,0.780538177,0.043286122,0.152975559
34,0.786795998,0.720523024,0.048872177,0.161112204
35,0.802084005,0.664596891,0.041425595,0.148014529
36,0.818488002,0.607721901,0.046354371,0.156749666
37,0.831055999,0.561228406,0.045419721,0.152560152
38,0.844976008,0.513975143,0.048335368,0.154314843
39,0.857948005,0.46671828,0.044266554,0.146835199
40,0.870291996,0.426755458,0.036354768,0.124190134
41,0.881011999,0.389279991,0.038638216,0.125395119
42,0.89118799,0.357381105,0.041520961,0.13404735
43,0.899236,0.328305727,0.037299464,0.112502107
44,0.909903991,0.295531017,0.030677019,0.101865331
45,0.917260015,0.269850832,0.029931963,0.095067887
46,0.925396013,0.244701159,0.020281601,0.073435837
47,0.928876007,0.229763371,0.030662765,0.096237271
48,0.933471978,0.216768959,0.028235138,0.092119787
49,0.939072001,0.198400688,0.031070359,0.097951077
